date,district,aqi,pm25,pm10,temperature,humidity,wind_speed,noise_db,water_quality,green_cover,latitude,longitude
2023-01-07,Central,50.9,18.5,30.6,7.1,77.3,21.5,58.3,82.7,62.5,37.772364,-122.426326
2023-01-07,Harbor,92.7,34.5,56.1,7.1,77.3,21.5,57.4,66.7,31.7,37.740932,-122.389062
2023-01-08,North,128.2,47.3,76.8,8.8,56.3,17.1,65.2,66.4,17.7,37.817026,-122.423289
2023-01-08,South,82.4,32.2,46.2,8.8,56.3,17.1,64.0,85.9,36.1,37.722216,-122.410689
2023-01-08,East,98.8,29.6,63.3,8.8,56.3,17.1,63.9,76.5,22.3,37.763591,-122.365007
2023-01-08,West,41.7,12.6,25.6,8.8,56.3,17.1,58.4,86.2,40.5,37.76076,-122.479783
2023-01-08,Central,42.0,16.5,27.0,8.8,56.3,17.1,51.6,95.4,64.6,37.77212,-122.422819
2023-01-08,Harbor,72.6,26.7,44.8,8.8,56.3,17.1,58.2,65.3,28.3,37.73953,-122.386682
2023-01-09,North,107.4,36.6,63.9,2.4,58.2,9.1,73.7,67.9,16.7,37.825311,-122.420277
2023-01-09,South,104.4,37.9,54.3,2.4,58.2,9.1,60.3,75.3,31.8,37.718568,-122.416786
2023-01-09,East,133.3,43.8,76.6,2.4,58.2,9.1,66.3,78.1,18.7,37.762676,-122.356287
2023-01-09,West,60.4,20.1,28.5,2.4,58.2,9.1,58.1,86.9,43.5,37.771315,-122.478552
2023-01-09,Central,70.7,24.4,32.2,2.4,58.2,9.1,60.8,90.5,66.8,37.771534,-122.420525
2023-01-09,Harbor,85.6,36.7,58.3,2.4,58.2,9.1,65.3,63.7,31.7,37.736617,-122.388668
2023-01-10,North,113.1,34.5,57.7,7.9,67.7,13.0,72.9,65.7,18.8,37.824424,-122.423848
2023-01-10,South,87.4,30.2,47.5,7.9,67.7,13.0,63.8,84.8,33.2,37.724255,-122.424568
2023-01-10,East,105.6,45.8,60.3,7.9,67.7,13.0,77.4,76.4,20.5,37.769773,-122.360682
2023-01-10,West,55.6,21.3,26.9,7.9,67.7,13.0,64.0,89.9,44.9,37.768855,-122.478184
2023-01-10,Central,46.1,19.4,16.7,7.9,67.7,13.0,54.5,83.0,60.3,37.775455,-122.416419
2023-01-10,Harbor,67.9,19.9,23.2,7.9,67.7,13.0,62.6,73.9,30.1,37.737762,-122.38814
2023-01-11,North,127.4,48.2,73.1,3.6,66.1,18.6,78.0,63.9,16.2,37.826516,-122.423881
2023-01-11,South,66.0,27.8,36.0,3.6,66.1,18.6,69.3,80.0,37.6,37.720526,-122.418967
2023-01-11,East,122.1,42.9,63.7,3.6,66.1,18.6,69.0,78.0,15.1,37.77255,-122.362155
2023-01-11,West,79.3,21.4,40.5,3.6,66.1,18.6,53.4,81.3,44.6,37.769283,-122.481014
2023-01-11,Central,45.7,17.1,20.5,3.6,66.1,18.6,59.2,95.0,65.0,37.772226,-122.418814
2023-01-11,Harbor,102.6,36.7,55.9,3.6,66.1,18.6,61.6,58.4,25.9,37.736445,-122.390283
2023-01-12,North,147.5,55.3,81.8,8.9,64.5,13.4,72.1,69.5,14.5,37.814207,-122.420272
2023-01-12,South,85.9,28.2,49.1,8.9,64.5,13.4,56.5,88.0,37.1,37.71899,-122.418546
2023-01-12,East,71.4,22.2,38.5,8.9,64.5,13.4,66.2,79.2,24.0,37.765294,-122.36335
2023-01-12,West,69.6,29.9,32.9,8.9,64.5,13.4,62.1,93.2,39.9,37.764876,-122.481694
2023-01-12,Central,43.0,17.9,25.3,8.9,64.5,13.4,48.0,94.3,62.6,37.775098,-122.42251
2023-01-12,Harbor,68.8,26.4,42.3,8.9,64.5,13.4,67.0,55.4,30.3,37.735863,-122.389059
2023-01-13,North,117.1,44.3,66.8,4.0,72.4,13.2,72.2,73.5,12.9,37.820128,-122.418924
2023-01-13,South,73.8,28.0,38.7,4.0,72.4,13.2,61.1,88.1,31.4,37.710349,-122.413556
2023-01-13,East,141.0,49.5,69.3,4.0,72.4,13.2,69.6,74.7,18.5,37.765546,-122.357682
2023-01-13,West,73.7,22.0,44.8,4.0,72.4,13.2,70.2,85.8,43.2,37.769432,-122.477539
2023-01-13,Central,26.1,9.9,12.7,4.0,72.4,13.2,64.3,91.2,68.2,37.765585,-122.417651
2023-01-13,Harbor,82.3,27.0,47.0,4.0,72.4,13.2,70.5,61.5,24.8,37.73993,-122.39361
2023-01-14,North,119.0,44.3,64.0,7.0,65.0,7.8,58.5,70.5,14.7,37.817145,-122.425267
2023-01-14,South,98.1,36.4,66.8,7.0,65.0,7.8,59.9,83.7,33.6,37.723267,-122.4175
2023-01-14,East,127.9,44.5,69.4,7.0,65.0,7.8,63.8,79.6,22.7,37.768165,-122.361699
2023-01-14,West,74.0,25.9,46.2,7.0,65.0,7.8,45.9,81.3,42.0,37.760719,-122.483855
2023-01-14,Central,40.0,13.8,28.0,7.0,65.0,7.8,49.9,87.4,63.9,37.774197,-122.423904
2023-01-14,Harbor,68.9,26.5,37.5,7.0,65.0,7.8,62.9,62.9,30.8,37.73586,-122.390048
2023-01-15,North,150.2,53.0,79.0,7.4,54.4,8.6,69.6,72.1,8.3,37.814013,-122.423692
2023-01-15,South,106.3,39.1,63.4,7.4,54.4,8.6,52.9,77.0,35.1,37.720233,-122.417805
2023-01-15,East,107.0,39.4,60.7,7.4,54.4,8.6,69.5,79.6,15.0,37.761011,-122.355993
2023-01-15,West,85.8,27.8,38.7,7.4,54.4,8.6,56.4,89.2,48.5,37.772065,-122.481487
2023-01-15,Central,39.9,14.4,20.8,7.4,54.4,8.6,46.4,100.0,68.5,37.774544,-122.423683
2023-01-15,Harbor,93.0,35.4,54.3,7.4,54.4,8.6,65.6,65.9,30.9,37.742548,-122.388637
2023-01-16,North,115.4,46.6,73.3,3.0,70.1,14.7,81.1,68.1,17.4,37.820048,-122.419189
2023-01-16,South,66.0,25.0,37.3,3.0,70.1,14.7,57.1,81.8,33.8,37.72719,-122.416423
2023-01-16,East,104.1,38.2,58.5,3.0,70.1,14.7,70.1,71.1,18.6,37.767016,-122.365001
2023-01-16,West,72.7,27.3,31.8,3.0,70.1,14.7,60.4,89.5,46.6,37.774103,-122.479844
2023-01-16,Central,37.9,10.4,22.9,3.0,70.1,14.7,57.7,97.8,66.7,37.769471,-122.424977
2023-01-16,Harbor,72.3,26.7,39.5,3.0,70.1,14.7,62.4,64.1,27.7,37.737488,-122.388754
2023-01-17,North,111.4,38.7,69.6,6.9,68.0,19.6,69.8,57.5,9.3,37.820116,-122.419876
2023-01-17,South,76.1,31.0,29.3,6.9,68.0,19.6,64.8,89.0,31.2,37.718481,-122.423012
2023-01-17,East,86.8,30.3,55.7,6.9,68.0,19.6,79.3,74.5,23.8,37.770142,-122.352985
2023-01-17,West,61.3,22.5,36.2,6.9,68.0,19.6,75.3,88.8,42.2,37.773876,-122.481447
2023-01-17,Central,40.6,17.3,22.9,6.9,68.0,19.6,57.3,92.1,64.8,37.7717,-122.427748
2023-01-17,Harbor,82.7,26.8,39.1,6.9,68.0,19.6,64.7,63.4,27.3,37.743324,-122.395369
2023-01-18,North,133.6,45.1,78.4,6.9,60.5,17.7,75.3,58.5,9.1,37.819951,-122.420884
2023-01-18,South,77.7,27.9,44.6,6.9,60.5,17.7,67.3,77.0,31.1,37.715627,-122.418844
2023-01-18,East,118.5,41.4,53.9,6.9,60.5,17.7,63.3,72.3,17.6,37.768366,-122.359846
2023-01-18,West,59.4,24.5,29.9,6.9,60.5,17.7,57.1,87.2,40.2,37.771559,-122.47959
2023-01-18,Central,46.3,21.4,22.8,6.9,60.5,17.7,65.3,91.0,60.8,37.77028,-122.424305
2023-01-18,Harbor,64.2,24.3,38.7,6.9,60.5,17.7,62.2,67.4,31.9,37.745745,-122.387882
2023-01-19,North,119.4,43.3,64.0,11.8,44.5,16.1,74.3,75.5,13.6,37.821655,-122.420929
2023-01-19,South,81.3,29.3,47.8,11.8,44.5,16.1,68.2,89.4,34.8,37.722358,-122.424603
2023-01-19,East,101.4,39.3,61.1,11.8,44.5,16.1,72.0,80.0,20.2,37.774801,-122.358843
2023-01-19,West,59.7,22.5,18.8,11.8,44.5,16.1,62.7,68.6,39.7,37.771807,-122.47809
2023-01-19,Central,32.8,9.7,25.2,11.8,44.5,16.1,53.8,100.0,64.0,37.771632,-122.413533
2023-01-19,Harbor,77.7,25.0,43.0,11.8,44.5,16.1,64.8,56.9,28.4,37.737031,-122.386303
2023-01-20,North,133.1,49.8,69.5,8.1,62.2,17.4,70.3,72.0,13.0,37.814333,-122.418225
2023-01-20,South,85.8,26.3,49.2,8.1,62.2,17.4,66.3,83.7,35.6,37.714383,-122.418676
2023-01-20,East,97.1,33.5,58.7,8.1,62.2,17.4,77.7,84.1,22.3,37.769561,-122.358589
2023-01-20,West,74.6,27.2,42.4,8.1,62.2,17.4,64.7,84.7,42.2,37.768342,-122.477464
2023-01-20,Central,48.5,18.5,30.5,8.1,62.2,17.4,54.3,95.4,64.9,37.765061,-122.414231
2023-01-20,Harbor,67.9,19.5,32.8,8.1,62.2,17.4,60.4,63.2,28.3,37.738653,-122.387521
2023-01-21,North,134.9,42.2,73.7,9.0,66.7,20.5,60.2,67.2,14.0,37.824182,-122.415249
2023-01-21,South,79.9,27.3,47.2,9.0,66.7,20.5,55.6,82.0,36.5,37.717769,-122.416777
2023-01-21,East,107.9,36.0,65.3,9.0,66.7,20.5,69.1,76.5,17.1,37.766563,-122.362151
2023-01-21,West,69.7,22.2,41.2,9.0,66.7,20.5,50.4,84.1,44.3,37.779781,-122.485509
2023-01-21,Central,67.7,24.8,40.0,9.0,66.7,20.5,51.5,94.0,63.6,37.775816,-122.421826
2023-01-21,Harbor,88.6,30.0,49.3,9.0,66.7,20.5,55.2,65.0,32.6,37.739691,-122.390788
2023-01-22,North,128.1,46.8,78.3,4.9,65.5,8.4,82.6,64.4,17.6,37.820975,-122.420605
2023-01-22,South,92.0,33.3,52.1,4.9,65.5,8.4,56.2,75.7,30.1,37.722613,-122.421107
2023-01-22,East,101.5,36.6,60.8,4.9,65.5,8.4,66.8,73.0,22.1,37.776317,-122.358022
2023-01-22,West,82.9,33.6,52.1,4.9,65.5,8.4,58.8,87.7,45.3,37.765611,-122.477197
2023-01-22,Central,33.6,9.7,25.3,4.9,65.5,8.4,54.8,98.7,63.3,37.765391,-122.420962
2023-01-22,Harbor,82.6,30.0,51.9,4.9,65.5,8.4,58.4,64.6,26.5,37.741801,-122.389988
2023-01-23,North,126.8,51.0,70.5,5.9,64.6,16.9,73.9,57.6,11.8,37.818948,-122.422743
2023-01-23,South,99.0,35.1,61.9,5.9,64.6,16.9,63.3,82.2,33.8,37.720015,-122.413125
2023-01-23,East,69.4,19.0,36.1,5.9,64.6,16.9,71.1,79.1,20.2,37.768463,-122.355924
2023-01-23,West,78.6,28.8,48.8,5.9,64.6,16.9,62.2,82.5,45.7,37.770442,-122.479995
2023-01-23,Central,69.3,17.6,31.7,5.9,64.6,16.9,50.7,90.4,63.4,37.763971,-122.423941
2023-01-23,Harbor,63.2,30.1,44.4,5.9,64.6,16.9,63.1,61.4,26.1,37.732367,-122.390468
2023-01-24,North,130.2,47.3,74.7,5.2,66.6,8.4,76.9,61.1,16.1,37.816799,-122.417469
2023-01-24,South,85.8,26.8,46.5,5.2,66.6,8.4,64.6,84.8,33.6,37.726127,-122.41597
2023-01-24,East,106.3,40.5,69.2,5.2,66.6,8.4,79.8,70.5,16.7,37.77594,-122.364233
2023-01-24,West,50.7,16.8,30.5,5.2,66.6,8.4,60.5,82.1,42.3,37.767151,-122.483518
2023-01-24,Central,84.5,31.3,51.8,5.2,66.6,8.4,53.8,91.2,62.2,37.759393,-122.425512
2023-01-24,Harbor,55.8,13.3,25.3,5.2,66.6,8.4,71.0,62.8,32.2,37.741644,-122.38687
2023-01-25,North,115.9,43.4,67.7,5.5,71.8,22.4,72.5,61.9,11.0,37.820346,-122.418692
2023-01-25,South,64.5,23.3,39.0,5.5,71.8,22.4,65.8,89.0,37.2,37.715995,-122.413266
2023-01-25,East,89.2,35.2,50.3,5.5,71.8,22.4,69.1,67.9,18.6,37.763762,-122.356131
2023-01-25,West,82.2,27.2,47.5,5.5,71.8,22.4,57.7,82.2,45.9,37.769846,-122.473041
2023-01-25,Central,39.5,17.2,22.6,5.5,71.8,22.4,59.6,90.0,63.9,37.769538,-122.423344
2023-01-25,Harbor,80.7,31.0,48.2,5.5,71.8,22.4,71.9,69.5,28.1,37.741492,-122.392494
2023-01-26,North,122.7,43.5,74.7,8.1,59.3,27.7,65.2,57.9,16.0,37.820242,-122.418998
2023-01-26,South,53.2,19.1,39.8,8.1,59.3,27.7,66.7,82.8,32.9,37.718422,-122.428517
2023-01-26,East,95.3,36.8,45.5,8.1,59.3,27.7,68.0,70.8,16.6,37.770214,-122.368338
2023-01-26,West,66.4,26.2,35.9,8.1,59.3,27.7,49.8,80.5,47.1,37.758888,-122.48139
2023-01-26,Central,27.3,12.2,11.9,8.1,59.3,27.7,57.8,94.5,68.6,37.769188,-122.418496
2023-01-26,Harbor,47.0,20.5,22.5,8.1,59.3,27.7,62.5,62.9,25.1,37.740915,-122.38613
2023-01-27,North,140.5,44.9,73.3,8.8,49.8,17.3,78.9,68.2,15.0,37.827438,-122.418126
2023-01-27,South,88.6,40.0,48.5,8.8,49.8,17.3,59.4,83.9,35.1,37.717893,-122.42413
2023-01-27,East,133.8,49.1,71.3,8.8,49.8,17.3,75.1,75.5,18.4,37.772249,-122.365168
2023-01-27,West,68.9,30.5,40.9,8.8,49.8,17.3,59.3,82.7,43.0,37.768984,-122.481511
2023-01-27,Central,61.4,16.9,38.7,8.8,49.8,17.3,54.3,93.7,61.2,37.775315,-122.415017
2023-01-27,Harbor,88.4,27.3,53.6,8.8,49.8,17.3,66.8,55.8,28.9,37.741458,-122.387776
2023-01-28,North,135.8,40.3,74.5,8.5,67.0,26.8,69.3,59.1,14.2,37.824995,-122.424346
2023-01-28,South,77.1,25.0,39.8,8.5,67.0,26.8,64.6,79.6,35.2,37.712515,-122.412551
2023-01-28,East,100.9,35.8,59.4,8.5,67.0,26.8,59.7,81.3,18.2,37.769184,-122.361967
2023-01-28,West,50.2,20.2,29.4,8.5,67.0,26.8,58.9,85.0,45.3,37.768325,-122.471081
2023-01-28,Central,22.3,11.8,19.3,8.5,67.0,26.8,47.2,100.0,66.5,37.773885,-122.419888
2023-01-28,Harbor,65.3,22.9,38.5,8.5,67.0,26.8,66.3,63.8,26.7,37.743298,-122.386315
2023-01-29,North,118.2,39.9,58.0,9.8,69.9,16.4,71.1,66.6,12.9,37.808178,-122.424989
2023-01-29,South,95.8,32.5,55.5,9.8,69.9,16.4,51.7,88.5,33.6,37.72116,-122.410697
2023-01-29,East,123.5,43.5,66.2,9.8,69.9,16.4,64.5,78.3,18.7,37.768419,-122.354131
2023-01-29,West,62.9,29.5,35.7,9.8,69.9,16.4,64.0,86.6,46.4,37.767102,-122.483415
2023-01-29,Central,55.4,22.9,31.2,9.8,69.9,16.4,45.2,85.9,60.4,37.76293,-122.419562
2023-01-29,Harbor,91.4,32.9,39.9,9.8,69.9,16.4,59.1,62.3,34.2,37.734171,-122.391563
2023-01-30,North,126.8,46.6,74.9,12.8,64.5,21.4,71.4,71.0,10.6,37.821313,-122.419285
2023-01-30,South,67.8,24.3,34.9,12.8,64.5,21.4,58.2,80.4,31.2,37.721291,-122.4246
2023-01-30,East,107.6,35.2,57.4,12.8,64.5,21.4,68.2,82.0,19.8,37.769153,-122.358005
2023-01-30,West,32.0,11.4,27.9,12.8,64.5,21.4,61.6,85.3,45.4,37.773582,-122.48799
2023-01-30,Central,23.1,8.9,9.4,12.8,64.5,21.4,61.9,90.6,59.2,37.764928,-122.430999
2023-01-30,Harbor,68.9,24.2,36.5,12.8,64.5,21.4,69.9,68.4,28.6,37.731461,-122.387531
2023-01-31,North,105.9,44.2,54.5,9.6,66.1,23.9,78.4,59.4,11.7,37.826065,-122.421044
2023-01-31,South,86.3,31.8,47.8,9.6,66.1,23.9,69.1,80.9,29.5,37.716787,-122.417795
2023-01-31,East,100.8,31.6,52.8,9.6,66.1,23.9,68.4,74.4,15.6,37.767487,-122.362914
2023-01-31,West,70.8,27.9,38.9,9.6,66.1,23.9,59.2,85.6,42.0,37.765413,-122.483761
2023-01-31,Central,36.7,9.7,21.4,9.6,66.1,23.9,59.3,84.9,64.1,37.76912,-122.418634
2023-01-31,Harbor,70.2,20.9,33.0,9.6,66.1,23.9,65.1,67.6,23.5,37.741383,-122.385242
2023-02-01,North,124.1,39.8,57.8,12.4,65.8,17.8,79.2,62.6,12.9,37.814454,-122.42564
2023-02-01,South,74.3,24.6,43.5,12.4,65.8,17.8,65.0,83.4,34.6,37.726311,-122.42427
2023-02-01,East,97.3,38.4,60.8,12.4,65.8,17.8,64.6,74.6,22.4,37.772032,-122.359219
2023-02-01,West,58.8,20.0,34.4,12.4,65.8,17.8,59.9,84.8,44.2,37.767288,-122.477871
2023-02-01,Central,87.7,26.2,50.7,12.4,65.8,17.8,52.6,94.6,64.1,37.773047,-122.415298
2023-02-01,Harbor,75.2,30.5,30.4,12.4,65.8,17.8,72.2,64.7,31.7,37.73512,-122.393323
2023-02-02,North,134.0,42.9,79.9,13.2,60.0,23.7,75.0,66.1,10.3,37.822012,-122.429656
2023-02-02,South,81.6,24.9,46.0,13.2,60.0,23.7,62.5,87.3,33.6,37.717223,-122.422026
2023-02-02,East,110.5,41.4,60.0,13.2,60.0,23.7,69.9,68.9,20.0,37.762961,-122.356993
2023-02-02,West,60.2,28.8,28.2,13.2,60.0,23.7,60.5,93.1,47.0,37.767215,-122.479104
2023-02-02,Central,44.3,16.8,21.3,13.2,60.0,23.7,55.6,84.8,64.3,37.7718,-122.42091
2023-02-02,Harbor,45.9,19.5,27.5,13.2,60.0,23.7,61.7,61.7,25.2,37.735898,-122.392151
2023-02-03,North,108.8,39.9,60.2,16.2,51.7,25.8,78.9,64.6,10.1,37.814472,-122.422128
2023-02-03,South,53.5,20.5,27.6,16.2,51.7,25.8,73.7,74.2,34.5,37.715488,-122.421974
2023-02-03,East,92.7,26.4,53.1,16.2,51.7,25.8,79.6,74.0,19.6,37.7741,-122.360656
2023-02-03,West,49.1,10.8,30.7,16.2,51.7,25.8,60.5,80.4,44.3,37.767665,-122.482114
2023-02-03,Central,51.9,14.7,34.3,16.2,51.7,25.8,49.7,89.0,68.8,37.774509,-122.41961
2023-02-03,Harbor,53.9,17.8,30.6,16.2,51.7,25.8,65.2,62.6,28.9,37.739142,-122.395768
2023-02-04,North,127.8,43.5,72.1,11.3,70.1,13.8,68.3,73.6,15.3,37.814753,-122.417315
2023-02-04,South,68.7,23.0,40.0,11.3,70.1,13.8,55.8,86.0,32.1,37.717524,-122.422625
2023-02-04,East,93.8,37.1,55.7,11.3,70.1,13.8,73.7,86.2,16.4,37.770282,-122.364705
2023-02-04,West,53.2,17.3,24.5,11.3,70.1,13.8,51.3,84.4,41.0,37.773369,-122.483671
2023-02-04,Central,88.0,30.3,49.6,11.3,70.1,13.8,45.2,99.7,66.8,37.771188,-122.425387
2023-02-04,Harbor,78.1,24.8,51.0,11.3,70.1,13.8,63.6,63.4,22.9,37.736066,-122.387249
2023-02-05,North,136.3,52.1,68.0,16.2,67.4,12.4,70.0,68.2,13.2,37.812591,-122.421303
2023-02-05,South,76.0,26.9,39.7,16.2,67.4,12.4,56.0,81.8,35.1,37.718782,-122.421639
2023-02-05,East,104.3,31.8,60.8,16.2,67.4,12.4,66.0,76.2,21.4,37.762189,-122.367895
2023-02-05,West,68.7,24.7,39.3,16.2,67.4,12.4,53.9,88.0,46.3,37.771936,-122.481043
2023-02-05,Central,19.7,9.4,17.1,16.2,67.4,12.4,53.9,88.0,65.7,37.773442,-122.413765
2023-02-05,Harbor,63.8,22.3,39.5,16.2,67.4,12.4,60.3,58.0,30.0,37.742315,-122.389648
2023-02-06,North,97.8,33.4,54.8,13.4,57.6,30.9,79.0,60.3,10.7,37.811849,-122.419869
2023-02-06,South,51.7,17.5,32.3,13.4,57.6,30.9,60.1,83.0,33.3,37.722688,-122.418099
2023-02-06,East,76.4,27.0,48.0,13.4,57.6,30.9,72.8,69.7,20.6,37.765662,-122.35435
2023-02-06,West,68.6,25.6,39.2,13.4,57.6,30.9,60.1,88.1,43.1,37.770942,-122.476512
2023-02-06,Central,33.3,10.1,12.7,13.4,57.6,30.9,51.2,83.8,65.8,37.777236,-122.414299
2023-02-06,Harbor,40.8,16.9,30.0,13.4,57.6,30.9,62.9,63.5,24.0,37.741067,-122.394254
2023-02-07,North,131.3,44.9,67.8,13.3,46.0,25.3,65.3,65.8,12.5,37.813796,-122.418188
2023-02-07,South,65.1,20.2,33.7,13.3,46.0,25.3,67.8,84.7,33.7,37.722476,-122.424644
2023-02-07,East,91.6,33.4,48.9,13.3,46.0,25.3,73.0,72.5,20.3,37.772207,-122.371669
2023-02-07,West,74.1,17.5,38.4,13.3,46.0,25.3,65.6,83.6,40.3,37.765625,-122.475892
2023-02-07,Central,16.7,9.4,9.1,13.3,46.0,25.3,50.6,89.4,61.5,37.773465,-122.41707
2023-02-07,Harbor,43.3,14.4,19.9,13.3,46.0,25.3,70.8,56.9,33.0,37.739867,-122.394648
2023-02-08,North,131.1,43.5,62.5,10.9,55.0,14.4,73.3,58.9,12.1,37.816364,-122.423485
2023-02-08,South,107.2,38.8,61.3,10.9,55.0,14.4,55.0,79.1,34.5,37.715902,-122.416368
2023-02-08,East,84.3,29.5,44.3,10.9,55.0,14.4,71.7,73.1,18.3,37.769055,-122.362938
2023-02-08,West,70.6,26.1,39.1,10.9,55.0,14.4,59.1,88.6,43.4,37.768773,-122.479581
2023-02-08,Central,72.1,21.9,44.2,10.9,55.0,14.4,47.5,93.0,67.9,37.771955,-122.419317
2023-02-08,Harbor,66.9,24.2,36.2,10.9,55.0,14.4,61.5,61.7,29.5,37.736931,-122.393225
2023-02-09,North,120.2,46.2,67.8,9.0,67.4,25.3,76.8,68.4,13.8,37.817877,-122.411143
2023-02-09,South,65.0,21.4,38.6,9.0,67.4,25.3,64.1,75.7,36.8,37.719623,-122.424444
2023-02-09,East,107.8,40.7,54.0,9.0,67.4,25.3,79.0,79.0,19.0,37.776361,-122.359363
2023-02-09,West,57.1,18.6,34.9,9.0,67.4,25.3,63.1,85.1,42.0,37.77052,-122.480279
2023-02-09,Central,24.9,4.5,16.8,9.0,67.4,25.3,44.3,92.9,62.8,37.775233,-122.421974
2023-02-09,Harbor,76.6,26.4,43.5,9.0,67.4,25.3,68.3,60.9,31.5,37.736025,-122.388822
2023-02-10,North,96.6,30.6,49.1,15.4,64.1,33.5,78.0,69.2,14.3,37.815508,-122.416933
2023-02-10,South,48.3,20.9,41.3,15.4,64.1,33.5,64.6,84.6,32.8,37.712759,-122.422411
2023-02-10,East,68.4,20.3,46.9,15.4,64.1,33.5,72.2,77.7,18.2,37.769309,-122.356142
2023-02-10,West,52.3,20.4,28.3,15.4,64.1,33.5,59.5,78.7,39.1,37.768954,-122.479774
2023-02-10,Central,22.0,7.8,12.6,15.4,64.1,33.5,46.3,87.9,65.0,37.771548,-122.424615
