complaint_id,date,time,district,category,priority,status,description,resolution_days,latitude,longitude,upvotes
SV-2023-01689,2023-02-02,13:54,South,Water Supply,High,Closed,Brown discoloured water from taps on Industrial Road.,1.4,37.714869,-122.408444,14
SV-2023-00383,2023-02-03,14:03,Harbor,Parks,Low,Resolved,Overgrown vegetation blocking the main pathway at Bus Terminal.,18.4,37.735947,-122.386444,3
SV-2023-01276,2023-02-04,11:47,North,Safety,High,Resolved,Stray dogs attacking pedestrians near SmartVille Hospital.,0.9,37.783348,-122.419145,5
SV-2023-01792,2023-02-05,18:04,Harbor,Safety,High,Resolved,Stray dogs attacking pedestrians near SmartVille Hospital.,12.4,37.72498,-122.358735,21
SV-2023-00183,2023-02-05,09:04,South,Parks,Low,Resolved,Broken playground equipment at Central Market — hazardous for children.,75.4,37.765696,-122.410569,1
SV-2023-00599,2023-02-06,08:49,South,Garbage,High,Closed,Garbage pile blocking pedestrian footpath on Sunrise Road.,2.0,37.733116,-122.428788,6
SV-2023-01651,2023-02-07,13:23,North,Water Supply,Low,Closed,No water supply for 2 hours in Green Lane area.,1.6,37.80643,-122.413112,0
SV-2023-00119,2023-02-08,11:31,North,Water Supply,Critical,In Progress,Critically low water pressure throughout North district.,,37.795365,-122.410361,46
SV-2023-00222,2023-02-08,07:19,East,Roads,Critical,Resolved,Damaged road markings near SmartVille School creating a safety hazard.,0.9,37.78274,-122.370124,67
SV-2023-01502,2023-02-08,20:24,North,Safety,Critical,In Progress,Abandoned vehicle blocking emergency access lane on Green Lane.,,37.787226,-122.432704,99
SV-2023-01868,2023-02-08,08:53,East,Noise,Low,Resolved,Night construction activity near Sports Complex violating city noise ordinance.,29.1,37.74433,-122.368511,1
SV-2023-01674,2023-02-08,11:46,East,Roads,Medium,Closed,Road surface severely deteriorated near Police Station; urgent repair needed.,23.0,37.738855,-122.33599,4
SV-2023-00378,2023-02-09,13:56,Harbor,Parks,Low,Closed,Poor maintenance of Harbor Community Park; overgrown grass.,13.1,37.739891,-122.374907,9
SV-2023-01926,2023-02-09,10:01,Central,Parks,Medium,Resolved,Broken playground equipment at Bus Terminal — hazardous for children.,6.4,37.780421,-122.411719,6
SV-2023-01720,2023-02-09,20:06,North,Garbage,Medium,Closed,Illegal dumping of construction waste spotted near Bus Terminal.,3.5,37.809256,-122.45014,7
SV-2023-01261,2023-02-09,13:06,Harbor,Safety,High,Resolved,Crumbling boundary wall near Convention Centre poses imminent collapse risk.,13.8,37.761719,-122.417489,14
SV-2023-00573,2023-02-10,10:59,East,Garbage,Medium,Closed,Garbage not collected for 8 days on Elm Street.,20.1,37.780684,-122.412927,6
SV-2023-00443,2023-02-10,09:59,South,Roads,High,Resolved,Collapsed pavement on Central Boulevard blocking one lane of traffic.,0.7,37.707097,-122.453598,1
SV-2023-00154,2023-02-10,10:45,East,Noise,Medium,Resolved,Heavy industrial machinery noise from East factory during quiet hours.,8.5,37.781495,-122.389907,1
SV-2023-00447,2023-02-10,17:56,South,Safety,Critical,Resolved,Crumbling boundary wall near University Campus poses imminent collapse risk.,0.7,37.753923,-122.392222,8
SV-2023-01031,2023-02-11,09:25,East,Garbage,High,Resolved,Overflowing bins near Police Station attracting pests and rodents.,3.6,37.779049,-122.404879,101
SV-2023-01704,2023-02-11,10:52,East,Noise,Low,In Progress,Excessive construction noise at Grand Library continues after permitted hours.,,37.741955,-122.308997,2
SV-2023-00796,2023-02-11,14:22,Harbor,Electricity,High,Resolved,Streetlight not working near Sports Complex creating a dark and unsafe area.,4.7,37.726635,-122.398736,18
SV-2023-01910,2023-02-12,08:39,West,Noise,Low,Resolved,Night construction activity near Tech Park violating city noise ordinance.,12.7,37.737066,-122.468913,0
SV-2023-01233,2023-02-12,15:45,South,Parks,Critical,Closed,Broken playground equipment at Convention Centre — hazardous for children.,4.8,37.724386,-122.439624,13
SV-2023-00592,2023-02-14,19:10,Harbor,Electricity,Critical,Closed,Streetlight not working near Central Market creating a dark and unsafe area.,1.9,37.748574,-122.380902,33
SV-2023-01504,2023-02-14,16:00,Harbor,Garbage,High,Resolved,Overflowing bins near Shopping Mall attracting pests and rodents.,1.9,37.756005,-122.410192,53
SV-2023-00566,2023-02-15,21:52,South,Parks,Low,Closed,Broken playground equipment at Fire Station — hazardous for children.,5.8,37.717757,-122.441107,7
SV-2023-01752,2023-02-15,14:44,South,Water Supply,High,Resolved,No water supply for 24 hours in Civic Center Way area.,5.9,37.742087,-122.448451,15
SV-2023-00326,2023-02-15,20:55,North,Roads,Medium,Resolved,Road surface severely deteriorated near SmartVille Station; urgent repair needed.,10.1,37.808772,-122.385547,14
SV-2023-00673,2023-02-16,16:11,South,Roads,Medium,Closed,Road surface severely deteriorated near Sports Complex; urgent repair needed.,0.4,37.731708,-122.447055,2
SV-2023-01249,2023-02-16,08:47,Harbor,Noise,High,Resolved,Night construction activity near Grand Library violating city noise ordinance.,5.7,37.726372,-122.394279,11
SV-2023-01494,2023-02-16,21:24,South,Parks,Low,Resolved,Damaged and unsafe park benches near Waterfront Road.,10.0,37.733386,-122.423688,2
SV-2023-00429,2023-02-17,21:40,Central,Electricity,Medium,Closed,Frequent power fluctuations in Central district damaging appliances.,18.6,37.793216,-122.407883,1
SV-2023-00471,2023-02-17,07:41,South,Parks,Critical,Resolved,Poor maintenance of South Community Park; overgrown grass.,3.2,37.714747,-122.448137,176
SV-2023-01015,2023-02-19,09:20,Harbor,Noise,Low,Closed,Night construction activity near Community Center violating city noise ordinance.,0.8,37.731818,-122.393936,0
SV-2023-01086,2023-02-19,12:05,Harbor,Roads,Critical,Closed,Damaged road markings near Tech Park creating a safety hazard.,6.1,37.736734,-122.391914,45
SV-2023-01404,2023-02-19,20:33,North,Electricity,Medium,Resolved,Power outage on Industrial Road for 8 hours with no update from utility.,12.8,37.820273,-122.437547,11
SV-2023-00202,2023-02-19,07:18,East,Safety,Critical,Resolved,Crumbling boundary wall near Convention Centre poses imminent collapse risk.,1.7,37.75817,-122.376872,95
SV-2023-00546,2023-02-20,12:14,East,Roads,Low,Closed,Collapsed pavement on Commerce Way blocking one lane of traffic.,0.5,37.793586,-122.334878,0
SV-2023-01828,2023-02-21,18:23,South,Garbage,Low,Closed,Garbage pile blocking pedestrian footpath on Commerce Way.,12.3,37.687672,-122.4485,0
SV-2023-01977,2023-02-21,12:50,East,Water Supply,Low,Closed,Brown discoloured water from taps on Elm Street.,3.7,37.793618,-122.34315,2
SV-2023-00123,2023-02-21,19:21,South,Water Supply,High,Resolved,Main water pipeline burst near Community Center; flooding the road.,0.6,37.746803,-122.404199,4
SV-2023-00134,2023-02-22,11:38,South,Roads,Medium,Resolved,Collapsed pavement on Commerce Way blocking one lane of traffic.,8.9,37.735324,-122.431167,9
SV-2023-01052,2023-02-22,17:15,Harbor,Water Supply,High,Open,Brown discoloured water from taps on Waterfront Road.,,37.781465,-122.41663,19
SV-2023-00308,2023-02-23,13:40,South,Parks,Medium,Resolved,Broken playground equipment at SmartVille Hospital — hazardous for children.,4.9,37.731742,-122.448375,17
SV-2023-01909,2023-02-24,08:38,Central,Parks,Low,In Progress,Overgrown vegetation blocking the main pathway at Central Market.,,37.770676,-122.425664,0
SV-2023-01157,2023-02-24,14:17,East,Roads,High,Closed,Damaged road markings near University Campus creating a safety hazard.,4.1,37.759254,-122.403025,34
SV-2023-01083,2023-02-25,19:23,West,Water Supply,Medium,In Progress,Brown discoloured water from taps on Green Lane.,,37.777633,-122.47929,3
SV-2023-01219,2023-02-25,12:57,East,Electricity,High,In Progress,Streetlight not working near SmartVille School creating a dark and unsafe area.,,37.787823,-122.363908,4
SV-2023-00079,2023-02-25,15:18,West,Water Supply,High,Closed,No water supply for 6 hours in Sunrise Road area.,0.3,37.795943,-122.505846,12
SV-2023-00649,2023-02-25,17:16,West,Roads,Low,Resolved,Damaged road markings near Shopping Mall creating a safety hazard.,2.3,37.756356,-122.508194,5
SV-2023-00795,2023-02-25,10:11,North,Garbage,Low,Resolved,Garbage not collected for 24 days on Civic Center Way.,8.4,37.855327,-122.419933,2
SV-2023-00560,2023-02-25,11:33,North,Electricity,High,Resolved,Streetlight not working near City Hall creating a dark and unsafe area.,0.7,37.857333,-122.436549,12
SV-2023-01327,2023-02-25,08:19,Central,Water Supply,Critical,Resolved,Visible pipe leakage causing water wastage near City Hall.,0.3,37.766797,-122.436431,66
SV-2023-01919,2023-02-25,13:07,East,Water Supply,High,Resolved,Brown discoloured water from taps on Main Street.,17.8,37.792834,-122.351155,1
SV-2023-00668,2023-02-27,12:50,West,Noise,Low,Closed,Night construction activity near Convention Centre violating city noise ordinance.,34.0,37.738935,-122.492196,0
SV-2023-01381,2023-02-27,14:36,East,Water Supply,Medium,Closed,Visible pipe leakage causing water wastage near Fire Station.,1.6,37.779183,-122.337094,0
SV-2023-00996,2023-02-27,08:22,Harbor,Water Supply,Critical,In Progress,Main water pipeline burst near Sports Complex; flooding the road.,,37.727279,-122.373824,118
SV-2023-01309,2023-02-27,14:40,West,Garbage,Low,Resolved,Overflowing bins near Community Center attracting pests and rodents.,0.5,37.783447,-122.454825,1
SV-2023-00391,2023-02-28,19:54,Central,Electricity,High,Resolved,Streetlight not working near City Hall creating a dark and unsafe area.,23.7,37.772676,-122.426068,74
SV-2023-01507,2023-02-28,08:43,North,Electricity,High,Resolved,Streetlight not working near SmartVille Station creating a dark and unsafe area.,4.7,37.820585,-122.405499,2
SV-2023-00894,2023-02-28,10:32,Central,Electricity,Critical,Resolved,Streetlight not working near Police Station creating a dark and unsafe area.,0.3,37.748361,-122.427122,7
SV-2023-01972,2023-03-01,20:43,Central,Garbage,Low,Closed,Garbage not collected for 3 days on Elm Street.,13.0,37.758247,-122.429896,3
SV-2023-00301,2023-03-02,11:55,West,Parks,High,Resolved,Poor maintenance of West Community Park; overgrown grass.,3.1,37.801096,-122.472146,4
SV-2023-00862,2023-03-02,16:20,North,Parks,Low,Resolved,Poor maintenance of North Community Park; overgrown grass.,62.0,37.821534,-122.47384,0
SV-2023-00892,2023-03-03,09:19,East,Electricity,Critical,Closed,Visible electrical sparks from exposed transformer near Green Lane.,0.7,37.761626,-122.365198,18
SV-2023-01074,2023-03-03,21:22,East,Safety,Critical,Closed,Stray dogs attacking pedestrians near Central Market.,1.8,37.785219,-122.339278,12
SV-2023-01563,2023-03-04,18:56,North,Safety,High,Resolved,Abandoned vehicle blocking emergency access lane on Pine Avenue.,0.5,37.833761,-122.437648,31
SV-2023-00752,2023-03-04,07:37,North,Safety,High,Closed,Crumbling boundary wall near Grand Library poses imminent collapse risk.,4.5,37.800265,-122.404912,0
SV-2023-00644,2023-03-04,17:30,East,Electricity,Low,Closed,Exposed live wiring near University Campus posing a serious electrocution risk.,5.1,37.795064,-122.338845,0
SV-2023-00023,2023-03-04,13:46,South,Safety,Medium,Resolved,Crumbling boundary wall near Central Market poses imminent collapse risk.,1.0,37.721567,-122.425382,2
SV-2023-00128,2023-03-04,14:54,East,Parks,Low,Closed,Overgrown vegetation blocking the main pathway at SmartVille Station.,70.4,37.732786,-122.361604,2
SV-2023-00122,2023-03-04,13:17,North,Roads,Critical,Closed,Large pothole on Waterfront Road causing vehicle damage and safety risk.,1.2,37.838478,-122.41701,21
SV-2023-00212,2023-03-05,18:08,East,Electricity,Medium,Resolved,Exposed live wiring near Sports Complex posing a serious electrocution risk.,9.5,37.761555,-122.350515,0
SV-2023-01434,2023-03-06,19:23,East,Roads,Critical,In Progress,Road surface severely deteriorated near Convention Centre; urgent repair needed.,,37.770803,-122.337373,31
SV-2023-00176,2023-03-06,18:49,Harbor,Roads,Medium,In Progress,Road surface severely deteriorated near City Hall; urgent repair needed.,,37.720949,-122.399232,16
SV-2023-00304,2023-03-06,19:34,East,Noise,High,Resolved,Heavy industrial machinery noise from East factory during quiet hours.,1.3,37.789639,-122.361993,23
SV-2023-01713,2023-03-06,09:09,South,Electricity,Critical,Resolved,Frequent power fluctuations in South district damaging appliances.,6.3,37.726819,-122.407483,25
SV-2023-01587,2023-03-06,18:44,North,Roads,Medium,Resolved,Large pothole on Commerce Way causing vehicle damage and safety risk.,24.3,37.827769,-122.406686,4
SV-2023-01884,2023-03-06,09:12,East,Safety,High,Resolved,Crumbling boundary wall near City Hall poses imminent collapse risk.,16.8,37.786318,-122.358699,1
SV-2023-00768,2023-03-07,21:26,Harbor,Parks,Medium,In Progress,Damaged and unsafe park benches near Harbor Drive.,,37.732025,-122.398631,15
SV-2023-01231,2023-03-07,14:11,South,Safety,High,Closed,Poor street lighting on Harbor Drive creating safety concerns at night.,1.8,37.732189,-122.416714,58
SV-2023-00390,2023-03-07,12:17,West,Safety,High,Resolved,Stray dogs attacking pedestrians near Central Market.,4.7,37.766158,-122.453167,1
SV-2023-00020,2023-03-07,12:01,East,Water Supply,High,Open,No water supply for 2 hours in Harbor Drive area.,,37.768704,-122.341936,2
SV-2023-00519,2023-03-07,21:56,East,Roads,Low,Resolved,Large pothole on Oak Avenue causing vehicle damage and safety risk.,8.1,37.758988,-122.360667,0
SV-2023-00403,2023-03-08,20:02,South,Garbage,Medium,Resolved,Decomposing waste near Bus Terminal causing foul odour.,12.0,37.678551,-122.428009,3
SV-2023-00742,2023-03-08,12:12,South,Electricity,Critical,Resolved,Streetlight not working near Bus Terminal creating a dark and unsafe area.,0.4,37.763681,-122.412207,11
SV-2023-00190,2023-03-09,11:25,Harbor,Parks,Low,Resolved,Overgrown vegetation blocking the main pathway at Community Center.,19.6,37.73516,-122.409917,0
SV-2023-01659,2023-03-10,13:08,North,Noise,Medium,Resolved,Night construction activity near SmartVille School violating city noise ordinance.,5.9,37.816969,-122.425868,2
SV-2023-01904,2023-03-10,12:53,Harbor,Water Supply,Critical,Resolved,No water supply for 4 hours in Main Street area.,0.6,37.730644,-122.412411,15
SV-2023-01655,2023-03-10,19:06,South,Safety,Medium,In Progress,Abandoned vehicle blocking emergency access lane on Industrial Road.,,37.728751,-122.425855,3
SV-2023-01832,2023-03-10,10:12,South,Water Supply,Low,In Progress,Brown discoloured water from taps on Elm Street.,,37.699083,-122.391522,2
SV-2023-01621,2023-03-11,14:32,Harbor,Roads,Medium,Resolved,Damaged road markings near Police Station creating a safety hazard.,2.0,37.728728,-122.387391,3
SV-2023-01206,2023-03-11,20:55,North,Garbage,Low,Resolved,Decomposing waste near Community Center causing foul odour.,73.3,37.844319,-122.404049,7
SV-2023-00946,2023-03-11,12:01,East,Electricity,High,Resolved,Streetlight not working near Community Center creating a dark and unsafe area.,15.1,37.799199,-122.324879,12
SV-2023-00255,2023-03-11,18:09,North,Electricity,High,In Progress,Exposed live wiring near Shopping Mall posing a serious electrocution risk.,,37.810683,-122.415972,34
SV-2023-01412,2023-03-12,12:55,South,Water Supply,High,Resolved,Visible pipe leakage causing water wastage near University Campus.,3.6,37.706484,-122.456791,60
